From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage
K2QCC1	K2QCC1	unreviewed	K2QCC1_METFP	Iron-containing alcohol dehydrogenase	A994_07986	Methanobacterium formicicum (strain DSM 3637 / PP1)	386	
K2QCC1_METFP	K2QCC1	unreviewed	K2QCC1_METFP	Iron-containing alcohol dehydrogenase	A994_07986	Methanobacterium formicicum (strain DSM 3637 / PP1)	386	
K2QYG2	K2QYG2	unreviewed	K2QYG2_METFP	Malate dehydrogenase	A994_09156	Methanobacterium formicicum (strain DSM 3637 / PP1)	341	
K2QYG2_METFP	K2QYG2	unreviewed	K2QYG2_METFP	Malate dehydrogenase	A994_09156	Methanobacterium formicicum (strain DSM 3637 / PP1)	341	
K2RBQ2	K2RBQ2	unreviewed	K2RBQ2_METFP	Methyl coenzyme M reductase system, component A2	A994_06630	Methanobacterium formicicum (strain DSM 3637 / PP1)	533	
K2RBQ2_METFP	K2RBQ2	unreviewed	K2RBQ2_METFP	Methyl coenzyme M reductase system, component A2	A994_06630	Methanobacterium formicicum (strain DSM 3637 / PP1)	533	
K2R158	K2R158	unreviewed	K2R158_METFP	Uncharacterized protein	A994_04885	Methanobacterium formicicum (strain DSM 3637 / PP1)	258	
K2R158_METFP	K2R158	unreviewed	K2R158_METFP	Uncharacterized protein	A994_04885	Methanobacterium formicicum (strain DSM 3637 / PP1)	258	
K2R4V4	K2R4V4	unreviewed	K2R4V4_METFP	Dihydrolipoyl dehydrogenase	A994_04755	Methanobacterium formicicum (strain DSM 3637 / PP1)	432	
K2R4V4_METFP	K2R4V4	unreviewed	K2R4V4_METFP	Dihydrolipoyl dehydrogenase	A994_04755	Methanobacterium formicicum (strain DSM 3637 / PP1)	432	
K2R947	K2R947	unreviewed	K2R947_METFP	Acetyl-CoA acetyltransferase, EC 2.3.1.9	A994_11487	Methanobacterium formicicum (strain DSM 3637 / PP1)	383	
K2R947_METFP	K2R947	unreviewed	K2R947_METFP	Acetyl-CoA acetyltransferase, EC 2.3.1.9	A994_11487	Methanobacterium formicicum (strain DSM 3637 / PP1)	383	
K2QFT8	K2QFT8	unreviewed	K2QFT8_METFP	Acetate/CoA ligase	A994_01605	Methanobacterium formicicum (strain DSM 3637 / PP1)	634	
K2QFT8_METFP	K2QFT8	unreviewed	K2QFT8_METFP	Acetate/CoA ligase	A994_01605	Methanobacterium formicicum (strain DSM 3637 / PP1)	634	
K2RUI8	K2RUI8	unreviewed	K2RUI8_METFP	Acetylglutamate kinase, EC 2.7.2.8 (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase, NAGK)	argB A994_02993	Methanobacterium formicicum (strain DSM 3637 / PP1)	293	
K2RUI8_METFP	K2RUI8	unreviewed	K2RUI8_METFP	Acetylglutamate kinase, EC 2.7.2.8 (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase, NAGK)	argB A994_02993	Methanobacterium formicicum (strain DSM 3637 / PP1)	293	
K2QEI4	K2QEI4	unreviewed	K2QEI4_METFP	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain ] [Includes: Glutamate N-acetyltransferase, EC 2.3.1.35 (Ornithine acetyltransferase, OATase) (Ornithine transacetylase); Amino-acid acetyltransferase, EC 2.3.1.1 (N-acetylglutamate synthase, AGSase) ]	argJ A994_03423	Methanobacterium formicicum (strain DSM 3637 / PP1)	397	
