From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage
A994_10524	K2QAR2	unreviewed	K2QAR2_METFP	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD, EC 6.3.5.13 (Lipid II isoglutaminyl synthase glutaminase subunit, EC 3.5.1.2)	gatD A994_10524	Methanobacterium formicicum (strain DSM 3637 / PP1)	240	
A994_02220	K2R770	unreviewed	K2R770_METFP	Formate dehydrogenase	A994_02220	Methanobacterium formicicum (strain DSM 3637 / PP1)	399	
A994_06266	K2R4C2	unreviewed	K2R4C2_METFP	Flavodoxin/nitric oxide synthase	A994_06266	Methanobacterium formicicum (strain DSM 3637 / PP1)	407	
A994_07476	K2RB47	unreviewed	K2RB47_METFP	Coenzyme F420 hydrogenase	A994_07476	Methanobacterium formicicum (strain DSM 3637 / PP1)	685	
A994_08446	K2RAV7	unreviewed	K2RAV7_METFP	Coenzyme F420 hydrogenase	A994_08446	Methanobacterium formicicum (strain DSM 3637 / PP1)	374	
A994_01930	K2QG03	unreviewed	K2QG03_METFP	Succinate dehydrogenase flavoprotein subunit, EC 1.3.5.1	sdhA A994_01930	Methanobacterium formicicum (strain DSM 3637 / PP1)	548	
A994_12388	K2RPI1	unreviewed	K2RPI1_METFP	Nicotinate-nucleotide pyrophosphorylase [carboxylating], EC 2.4.2.19 (Quinolinate phosphoribosyltransferase [decarboxylating])	A994_12388	Methanobacterium formicicum (strain DSM 3637 / PP1)	279	
A994_11177	K2RQD4	unreviewed	K2RQD4_METFP	Heavy metal translocating P-type ATPase	A994_11177	Methanobacterium formicicum (strain DSM 3637 / PP1)	663	
A994_10088	K2QY50	unreviewed	K2QY50_METFP	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, BPG-independent PGAM, Phosphoglyceromutase, aPGAM, EC 5.4.2.12	apgM A994_10088	Methanobacterium formicicum (strain DSM 3637 / PP1)	408	
A994_05856	K2R450	unreviewed	K2R450_METFP	Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)	ppa A994_05856	Methanobacterium formicicum (strain DSM 3637 / PP1)	173	
A994_10093	K2RA81	unreviewed	K2RA81_METFP	Probable phosphoglucosamine mutase, EC 5.4.2.10	glmM A994_10093	Methanobacterium formicicum (strain DSM 3637 / PP1)	450	
A994_04090	K2RCQ4	unreviewed	K2RCQ4_METFP	Pyruvate ferredoxin/flavodoxin oxidoreductase subunit beta	A994_04090	Methanobacterium formicicum (strain DSM 3637 / PP1)	286	
A994_09783	K2R1P2	unreviewed	K2R1P2_METFP	P-type Ca(2+) transporter, EC 7.2.2.10	A994_09783	Methanobacterium formicicum (strain DSM 3637 / PP1)	841	
A994_08696	K2RAZ9	unreviewed	K2RAZ9_METFP	6-phospho 3-hexuloisomerase	A994_08696	Methanobacterium formicicum (strain DSM 3637 / PP1)	193	
A994_10529	K2R1E1	unreviewed	K2R1E1_METFP	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT, EC 6.3.5.13	murT A994_10529	Methanobacterium formicicum (strain DSM 3637 / PP1)	453	
A994_01360	K2R6T4	unreviewed	K2R6T4_METFP	Malate dehydrogenase, EC 1.1.1.38	A994_01360	Methanobacterium formicicum (strain DSM 3637 / PP1)	515	
A994_00030	K2QEV2	unreviewed	K2QEV2_METFP	Prephenate dehydratase	A994_00030	Methanobacterium formicicum (strain DSM 3637 / PP1)	269	
