Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Taxonomic lineage	EC number
K2QAT3	unreviewed	K2QAT3_METFP	Multifunctional fusion protein [Includes: Cysteine desulfurase IscS, EC 2.8.1.7; Sulfur carrier protein FdhD ]	iscS fdhD A994_10649	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.8.1.7
K2QD83	unreviewed	K2QD83_METFP	4-hydroxy-tetrahydrodipicolinate reductase, HTPA reductase, EC 1.17.1.8	dapB A994_05826	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.17.1.8
K2QF36	unreviewed	K2QF36_METFP	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase, EC 4.2.1.136 (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase, EC 5.1.99.6 ]	nnrE nnrD A994_00430	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.2.1.136; 5.1.99.6
K2QX37	unreviewed	K2QX37_METFP	Aspartate-semialdehyde dehydrogenase, ASA dehydrogenase, ASADH, EC 1.2.1.11 (Aspartate-beta-semialdehyde dehydrogenase)	asd A994_11507	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.2.1.11
K2R229	unreviewed	K2R229_METFP	Catalase-peroxidase, CP, EC 1.11.1.21 (Peroxidase/catalase)	katG A994_08946	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.11.1.21
K2R6W8	unreviewed	K2R6W8_METFP	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein [Includes: tRNA N6-adenosine threonylcarbamoyltransferase, EC 2.3.1.234 (tRNA threonylcarbamoyladenosine biosynthesis protein Kae1) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein Kae1); Serine/threonine-protein kinase Bud32, EC 2.7.11.1 ]	A994_01610	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.3.1.234; 2.7.11.1
K2R951	unreviewed	K2R951_METFP	4-hydroxy-tetrahydrodipicolinate reductase, HTPA reductase, EC 1.17.1.8	dapB A994_11512	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.17.1.8
K2R9F2	unreviewed	K2R9F2_METFP	Aspartate--tRNA(Asp/Asn) ligase, EC 6.1.1.23 (Aspartyl-tRNA synthetase, AspRS) (Non-discriminating aspartyl-tRNA synthetase, ND-AspRS)	aspC aspS A994_11147	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.1.1.23
K2RCA3	unreviewed	K2RCA3_METFP	Isopentenyl-diphosphate delta-isomerase, IPP isomerase, EC 5.3.3.2 (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase, IDI-2)	fni A994_05466	Methanobacterium formicicum (strain DSM 3637 / PP1)		5.3.3.2
K2RQK4	unreviewed	K2RQK4_METFP	CTP synthase, EC 6.3.4.2 (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase, CTP synthetase, CTPS) (UTP--ammonia ligase)	pyrG A994_10519	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.4.2
